ID, Image, Latitude, Longitude, City, State, Country
5b0cfa5845bb0c0004277e13, http://101.110.193.152/, 35.685, 139.751, Tokyo, Null, JP
5b0cfa5945bb0c0004277e14, http://108.176.64.17/axis-cgi/mjpg/video.cgi, 43.3523, -73.6898, Queensbury, NY, USA
5b0cfa5a45bb0c0004277e15, http://114.176.98.234/nphMotionJpeg?Resolution, 35.685, 139.751, Tokyo, Null, JP
5b0cfa5b45bb0c0004277e16, http://114.184.144.163/nphMotionJpeg?Resolution, 35.685, 139.751, Tokyo, Null, JP
5b0cfa5c45bb0c0004277e17, http://116.193.97.222/nphMotionJpeg?Resolution, 34.8167, 134.7, Himeji, Null, JP
5b0cfa5c45bb0c0004277e18, http://118.22.146.80, 35.685, 139.751, Tokyo, Null, JP
5b0cfa5e45bb0c0004277e19, http://119.228.91.54, 34.6864, 135.52, Osaka, Null, JP
5b0cfa5f45bb0c0004277e1a, http://119.245.179.160/, 35.685, 139.751, Tokyo, Null, JP
5b0cfa5f45bb0c0004277e1b, http://12.154.134.211/axis-cgi/mjpg/video.cgi, 38, -97, , Null, USA
5b0cfa6f45bb0c0004277e25, http://12.154.97.250/axis-cgi/mjpg/video.cgi, 38, -97, , Null, USA
5b0cfa7045bb0c0004277e26, http://12.154.97.251/axis-cgi/mjpg/video.cgi, 38, -97, , Null, USA
5b0cfa7145bb0c0004277e27, http://125.206.238.163/, 35.685, 139.751, Tokyo, Null, JP
5b0cfa7245bb0c0004277e28, http://128.101.105.82/axis-cgi/mjpg/video.cgi, 44.9759, -93.2166, Minneapolis, MN, USA
5b0cfa7345bb0c0004277e29, http://128.10.29.20/axis-cgi/mjpg/video.cgi, 40.4278, -86.9169, West Lafayette, IN, USA
5b0cfa7445bb0c0004277e2a, http://128.10.29.21/axis-cgi/mjpg/video.cgi, 40.4278, -86.9169, West Lafayette, IN, USA
5b0cfa7545bb0c0004277e2b, http://128.10.29.22/axis-cgi/mjpg/video.cgi, 40.4278, -86.9169, West Lafayette, IN, USA
5b0cfa7645bb0c0004277e2c, http://128.10.29.23/axis-cgi/mjpg/video.cgi, 40.4278, -86.9169, West Lafayette, IN, USA
5b0cfa7745bb0c0004277e2d, http://128.10.29.24/axis-cgi/mjpg/video.cgi, 40.4278, -86.9169, West Lafayette, IN, USA
5b0cfa7845bb0c0004277e2e, http://128.10.29.25/axis-cgi/mjpg/video.cgi, 40.4278, -86.9169, West Lafayette, IN, USA
5b0cfa7945bb0c0004277e2f, http://128.10.29.26/axis-cgi/mjpg/video.cgi, 40.4269, -86.9164, West Lafayette, IN, USA
5b0cfa7a45bb0c0004277e30, http://128.10.29.27/axis-cgi/mjpg/video.cgi, 40.4269, -86.9164, West Lafayette, IN, USA
5b0cfa7b45bb0c0004277e31, http://128.10.29.30/axis-cgi/mjpg/video.cgi, 40.4269, -86.9164, West Lafayette, IN, USA
